Pixels #,Intensity (a.u.)
0.00000e+00,7.86813e-01
1.00000e+00,7.86493e-01
2.00000e+00,7.90769e-01
3.00000e+00,7.85206e-01
4.00000e+00,7.86356e-01
5.00000e+00,7.87062e-01
6.00000e+00,7.87332e-01
7.00000e+00,7.87476e-01
8.00000e+00,7.87745e-01
9.00000e+00,7.88853e-01
1.00000e+01,7.86010e-01
1.10000e+01,7.88082e-01
1.20000e+01,7.92204e-01
1.30000e+01,7.86718e-01
1.40000e+01,7.85990e-01
1.50000e+01,7.89842e-01
1.60000e+01,7.86585e-01
1.70000e+01,7.87540e-01
1.80000e+01,7.89091e-01
1.90000e+01,7.84592e-01
2.00000e+01,7.85724e-01
2.10000e+01,7.87657e-01
2.20000e+01,7.87232e-01
2.30000e+01,7.85041e-01
2.40000e+01,7.85188e-01
2.50000e+01,7.85743e-01
2.60000e+01,7.86179e-01
2.70000e+01,7.87160e-01
2.80000e+01,7.87438e-01
2.90000e+01,7.85406e-01
3.00000e+01,7.86820e-01
3.10000e+01,7.92089e-01
3.20000e+01,7.91355e-01
3.30000e+01,7.87525e-01
3.40000e+01,7.87309e-01
3.50000e+01,7.88991e-01
3.60000e+01,7.86440e-01
3.70000e+01,7.87005e-01
3.80000e+01,7.88164e-01
3.90000e+01,8.17197e-01
4.00000e+01,7.87863e-01
4.10000e+01,7.89894e-01
4.20000e+01,7.84912e-01
4.30000e+01,7.85356e-01
4.40000e+01,7.87698e-01
4.50000e+01,7.87851e-01
4.60000e+01,7.85960e-01
4.70000e+01,7.89573e-01
4.80000e+01,7.90156e-01
4.90000e+01,7.88546e-01
5.00000e+01,7.86660e-01
5.10000e+01,7.87200e-01
5.20000e+01,7.89327e-01
5.30000e+01,7.88078e-01
5.40000e+01,7.99772e-01
5.50000e+01,7.87639e-01
5.60000e+01,7.91071e-01
5.70000e+01,7.86737e-01
5.80000e+01,7.85424e-01
5.90000e+01,7.86460e-01
6.00000e+01,7.88744e-01
6.10000e+01,7.87355e-01
6.20000e+01,7.84869e-01
6.30000e+01,7.84569e-01
6.40000e+01,7.87917e-01
6.50000e+01,7.86552e-01
6.60000e+01,7.86233e-01
6.70000e+01,7.88365e-01
6.80000e+01,7.88551e-01
6.90000e+01,7.86803e-01
7.00000e+01,7.86098e-01
7.10000e+01,7.92177e-01
7.20000e+01,7.86669e-01
7.30000e+01,7.87427e-01
7.40000e+01,7.84920e-01
7.50000e+01,7.84658e-01
7.60000e+01,7.85466e-01
7.70000e+01,7.85370e-01
7.80000e+01,7.87223e-01
7.90000e+01,7.85629e-01
8.00000e+01,7.86961e-01
8.10000e+01,7.87511e-01
8.20000e+01,7.86626e-01
8.30000e+01,7.86364e-01
8.40000e+01,7.85842e-01
8.50000e+01,7.85556e-01
8.60000e+01,7.90278e-01
8.70000e+01,7.85592e-01
8.80000e+01,7.86223e-01
8.90000e+01,7.87890e-01
9.00000e+01,7.88116e-01
9.10000e+01,7.92776e-01
9.20000e+01,7.85720e-01
9.30000e+01,7.85032e-01
9.40000e+01,7.85162e-01
9.50000e+01,7.86803e-01
9.60000e+01,7.86208e-01
9.70000e+01,7.86388e-01
9.80000e+01,7.84607e-01
9.90000e+01,7.86787e-01
1.00000e+02,7.85464e-01
1.01000e+02,7.86835e-01
1.02000e+02,7.87583e-01
1.03000e+02,7.90704e-01
1.04000e+02,7.85603e-01
1.05000e+02,7.87541e-01
1.06000e+02,7.90208e-01
1.07000e+02,7.86149e-01
1.08000e+02,7.86698e-01
1.09000e+02,7.85141e-01
1.10000e+02,7.83938e-01
1.11000e+02,7.85446e-01
1.12000e+02,7.90423e-01
1.13000e+02,7.85323e-01
1.14000e+02,7.84554e-01
1.15000e+02,7.85207e-01
1.16000e+02,7.88225e-01
1.17000e+02,7.84752e-01
1.18000e+02,7.85594e-01
1.19000e+02,7.91239e-01
1.20000e+02,7.84953e-01
1.21000e+02,7.87463e-01
1.22000e+02,7.85140e-01
1.23000e+02,7.85432e-01
1.24000e+02,7.89429e-01
1.25000e+02,7.86710e-01
1.26000e+02,7.85425e-01
1.27000e+02,7.86874e-01
1.28000e+02,7.88332e-01
1.29000e+02,7.85479e-01
1.30000e+02,7.86722e-01
1.31000e+02,7.87679e-01
1.32000e+02,7.90238e-01
1.33000e+02,7.83238e-01
1.34000e+02,7.88631e-01
1.35000e+02,7.86027e-01
1.36000e+02,7.86301e-01
1.37000e+02,7.85733e-01
1.38000e+02,7.85322e-01
1.39000e+02,7.90477e-01
1.40000e+02,7.86736e-01
1.41000e+02,7.85255e-01
1.42000e+02,7.88757e-01
1.43000e+02,7.88379e-01
1.44000e+02,7.88443e-01
1.45000e+02,7.85023e-01
1.46000e+02,7.89140e-01
1.47000e+02,7.86173e-01
1.48000e+02,7.86154e-01
1.49000e+02,7.89702e-01
1.50000e+02,7.86715e-01
1.51000e+02,7.90683e-01
1.52000e+02,7.85633e-01
1.53000e+02,7.86725e-01
1.54000e+02,7.91660e-01
1.55000e+02,7.85782e-01
1.56000e+02,7.87162e-01
1.57000e+02,7.86159e-01
1.58000e+02,7.85380e-01
1.59000e+02,7.96449e-01
1.60000e+02,7.87234e-01
1.61000e+02,7.86663e-01
1.62000e+02,7.86864e-01
1.63000e+02,7.87178e-01
1.64000e+02,7.86120e-01
1.65000e+02,7.85489e-01
1.66000e+02,7.85741e-01
1.67000e+02,7.87030e-01
1.68000e+02,7.85484e-01
1.69000e+02,7.86840e-01
1.70000e+02,7.87196e-01
1.71000e+02,7.84690e-01
1.72000e+02,7.87702e-01
1.73000e+02,7.88632e-01
